"Day","Suspectible","Exposed","Infectious","Recovered","Dead"
"1","99","1","0","0","0"
"2","99","1","0","0","0"
"3","99","1","0","0","0"
"4","97","3","0","0","0"
"5","96","4","0","0","0"
"6","95","5","0","0","0"
"7","94","6","0","0","0"
"8","92","8","0","0","0"
"9","91","9","0","0","0"
"10","90","7","3","0","0"
"11","86","10","3","0","1"
"12","83","11","5","0","1"
"13","80","14","5","0","1"
"14","77","17","5","0","1"
"15","75","17","7","0","1"
"16","73","17","9","0","1"
"17","73","15","11","0","1"
"18","66","18","14","0","2"
"19","63","19","15","0","3"
"20","57","24","15","1","3"
"21","50","30","14","2","4"
"22","46","29","18","2","5"
"23","36","35","21","3","5"
"24","30","38","22","4","6"
"25","25","40","23","4","8"
"26","24","37","25","4","10"
"27","22","36","25","6","11"
"28","21","34","25","7","13"
"29","20","27","31","9","13"
"30","18","24","35","9","14"
"31","18","23","31","10","18"
"32","18","18","31","12","21"
"33","17","15","33","13","22"
"34","17","12","30","16","25"
"35","16","11","29","17","27"
"36","15","10","28","18","29"
"37","14","9","27","20","30"
"38","14","6","27","23","30"
"39","14","3","27","25","31"
"40","14","2","24","29","31"
"41","14","2","23","30","31"
"42","14","2","20","32","32"
"43","14","1","17","33","35"
"44","14","1","14","35","36"
"45","14","1","13","36","36"
"46","13","2","10","39","36"
"47","13","1","10","40","36"
"48","13","1","9","41","36"
"49","12","2","7","42","37"
"50","12","2","6","43","37"
"51","12","2","5","44","37"
"52","12","2","5","44","37"
"53","12","2","4","45","37"
"54","12","2","4","45","37"
"55","12","2","2","47","37"
"56","12","1","2","48","37"
"57","12","1","2","48","37"
"58","12","1","2","48","37"
"59","12","1","2","48","37"
"60","12","0","3","48","37"
"61","12","0","3","48","37"
"62","12","0","2","49","37"
"63","12","0","2","49","37"
"64","12","0","2","49","37"
"65","12","0","2","49","37"
"66","12","0","2","49","37"
"67","12","0","1","50","37"
"68","12","0","1","50","37"
"69","12","0","1","50","37"
"70","12","0","1","50","37"
"71","12","0","1","50","37"
"72","12","0","1","50","37"
"73","12","0","1","50","37"
"74","12","0","0","51","37"
