"Day","Suspectible","Exposed","Infectious","Recovered","Dead"
"1","999","1","0","0","0"
"2","999","1","0","0","0"
"3","999","1","0","0","0"
"4","999","1","0","0","0"
"5","999","0","1","0","0"
"6","999","0","1","0","0"
"7","999","0","1","0","0"
"8","998","1","1","0","0"
"9","997","2","1","0","0"
"10","996","3","1","0","0"
"11","995","4","1","0","0"
"12","993","6","1","0","0"
"13","991","6","3","0","0"
"14","988","9","3","0","0"
"15","988","8","3","1","0"
"16","985","11","3","1","0"
"17","983","13","3","1","0"
"18","981","13","5","1","0"
"19","975","18","6","1","0"
"20","970","21","8","1","0"
"21","963","28","8","1","0"
"22","958","32","9","1","0"
"23","951","37","11","1","0"
"24","946","36","16","2","0"
"25","941","37","19","3","0"
"26","931","43","22","4","0"
"27","925","47","23","5","0"
"28","916","49","30","5","0"
"29","905","51","38","6","0"
"30","899","52","42","6","1"
"31","891","55","44","8","2"
"32","881","59","49","9","2"
"33","872","66","49","10","3"
"34","858","72","56","11","3"
"35","851","74","58","14","3"
"36","844","74","60","19","3"
"37","835","75","63","24","3"
"38","813","89","66","27","5"
"39","790","101","71","33","5"
"40","775","107","75","36","7"
"41","756","119","76","42","7"
"42","742","122","80","47","9"
"43","717","134","89","51","9"
"44","689","155","91","54","11"
"45","658","168","102","59","13"
"46","629","177","118","63","13"
"47","596","187","135","67","15"
"48","570","197","136","81","16"
"49","532","209","151","91","17"
"50","502","221","166","94","17"
"51","476","221","183","102","18"
"52","446","225","193","113","23"
"53","421","222","216","118","23"
"54","405","207","238","127","23"
"55","387","199","254","134","26"
"56","368","182","265","154","31"
"57","349","179","272","167","33"
"58","335","161","288","182","34"
"59","318","153","304","191","34"
"60","305","147","299","211","38"
"61","291","138","291","240","40"
"62","278","129","289","260","44"
"63","269","114","298","274","45"
"64","261","101","292","300","46"
"65","256","80","296","320","48"
"66","251","76","283","339","51"
"67","244","72","258","371","55"
"68","236","69","234","403","58"
"69","233","60","219","428","60"
"70","231","51","197","456","65"
"71","227","50","178","480","65"
"72","224","45","171","493","67"
"73","221","41","166","505","67"
"74","219","34","153","526","68"
"75","215","34","134","548","69"
"76","213","35","112","570","70"
"77","211","30","103","585","71"
"78","209","28","94","597","72"
"79","208","25","86","607","74"
"80","208","18","73","624","77"
"81","207","16","66","633","78"
"82","207","13","58","644","78"
"83","206","12","47","657","78"
"84","205","10","45","662","78"
"85","204","10","39","668","79"
"86","203","7","38","672","80"
"87","202","6","36","675","81"
"88","201","6","35","677","81"
"89","201","6","31","681","81"
"90","200","6","30","682","82"
"91","200","6","26","686","82"
"92","200","5","23","690","82"
"93","200","4","22","692","82"
"94","200","3","21","694","82"
"95","199","3","17","699","82"
"96","198","3","12","704","83"
"97","198","3","11","705","83"
"98","198","3","10","706","83"
"99","198","3","9","707","83"
"100","198","1","9","709","83"
"101","198","1","8","710","83"
"102","198","1","8","710","83"
"103","198","1","6","711","84"
"104","197","2","5","712","84"
"105","197","2","4","713","84"
"106","197","2","3","714","84"
"107","197","2","2","715","84"
"108","197","1","3","715","84"
"109","197","1","3","715","84"
"110","196","2","3","715","84"
"111","196","1","4","715","84"
"112","196","1","3","716","84"
"113","196","1","3","716","84"
"114","196","0","4","716","84"
"115","196","0","4","716","84"
"116","196","0","4","716","84"
"117","196","0","3","717","84"
"118","196","0","2","717","85"
"119","196","0","2","717","85"
"120","196","0","1","718","85"
"121","196","0","1","718","85"
"122","196","0","1","718","85"
"123","196","0","1","718","85"
"124","196","0","1","718","85"
"125","196","0","0","719","85"
