"Day","Suspectible","Exposed","Infectious","Recovered","Dead"
"1","990","10","0","0","0"
"2","986","14","0","0","0"
"3","982","18","0","0","0"
"4","973","27","0","0","0"
"5","963","37","0","0","0"
"6","952","45","3","0","0"
"7","940","55","5","0","0"
"8","927","67","6","0","0"
"9","912","76","12","0","0"
"10","892","86","22","0","0"
"11","877","94","29","0","0"
"12","855","108","37","0","0"
"13","832","120","47","0","1"
"14","805","136","58","0","1"
"15","785","143","71","0","1"
"16","756","161","82","0","1"
"17","725","178","95","1","1"
"18","695","190","109","5","1"
"19","665","193","132","9","1"
"20","631","206","150","12","1"
"21","604","214","167","14","1"
"22","571","224","188","16","1"
"23","542","222","209","26","1"
"24","521","218","219","41","1"
"25","496","214","240","49","1"
"26","475","210","255","58","2"
"27","457","197","274","70","2"
"28","439","184","287","87","3"
"29","417","178","299","102","4"
"30","396","170","308","121","5"
"31","388","155","311","140","6"
"32","365","155","311","163","6"
"33","354","154","300","185","7"
"34","343","141","297","212","7"
"35","333","125","293","241","8"
"36","318","119","291","263","9"
"37","309","113","289","279","10"
"38","296","103","281","308","12"
"39","292","90","265","340","13"
"40","286","83","247","369","15"
"41","280","83","221","401","15"
"42","274","80","218","413","15"
"43","269","71","207","438","15"
"44","265","67","198","455","15"
"45","259","61","190","475","15"
"46","254","55","183","491","17"
"47","250","54","166","511","19"
"48","244","50","152","535","19"
"49","240","50","133","556","21"
"50","237","45","124","573","21"
"51","232","40","116","591","21"
"52","229","41","105","604","21"
"53","226","40","101","611","22"
"54","226","31","96","625","22"
"55","226","27","92","633","22"
"56","224","25","85","643","23"
"57","221","24","81","651","23"
"58","219","18","73","667","23"
"59","219","13","70","675","23"
"60","219","13","64","681","23"
"61","219","8","62","688","23"
"62","217","8","59","693","23"
"63","216","8","50","701","25"
"64","216","7","44","708","25"
"65","216","6","39","714","25"
"66","216","5","37","717","25"
"67","216","4","31","724","25"
"68","216","2","30","727","25"
"69","216","1","29","729","25"
"70","216","1","20","738","25"
"71","216","1","18","740","25"
"72","216","1","16","742","25"
"73","216","0","15","744","25"
"74","216","0","13","746","25"
"75","216","0","8","751","25"
"76","216","0","7","752","25"
"77","216","0","6","753","25"
"78","216","0","6","753","25"
"79","216","0","4","755","25"
"80","216","0","4","755","25"
"81","216","0","4","755","25"
"82","216","0","2","757","25"
"83","216","0","1","758","25"
"84","216","0","1","758","25"
"85","216","0","0","759","25"
